
> fp-erp@0.1.0 dev
> next dev

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.4.22:3000
- Environments: .env.local
✓ Ready in 366ms

 GET /api/icon?style=fp100&color=True%20Blue 200 in 18ms (next.js: 6ms, application-code: 11ms)
 GET /api/icon?style=fp82&color=Espresso%20Bean 200 in 15ms (next.js: 6ms, application-code: 8ms)
 GET /api/icon?style=fp29&color=Cherry%20Red 200 in 10ms (next.js: 3ms, application-code: 7ms)
 GET /api/icon?style=fp29&color=Dark%20Slate 200 in 7ms (next.js: 1994µs, application-code: 5ms)
 GET /orders/180152A 200 in 318ms (next.js: 296ms, application-code: 22ms)
 GET /api/orders/180152A 200 in 52ms (next.js: 5ms, application-code: 47ms)
 GET /api/orders/180152A 200 in 8ms (next.js: 740µs, application-code: 7ms)
 GET /api/orders/180152A/images 200 in 731ms (next.js: 721ms, application-code: 10ms)
 GET /api/orders/180152A/images 200 in 9ms (next.js: 1956µs, application-code: 7ms)
[browser] Warning: Setting up fake worker. (file:///Users/lizziesivitz/Desktop/fp-erp/.next/dev/static/chunks/node_modules_0ssxb01._.js:2017:17)
 GET /api/orders?kanban=1 200 in 20ms (next.js: 3ms, application-code: 17ms)
 GET /api/orders?kanban=1 200 in 12ms (next.js: 1217µs, application-code: 10ms)
 GET /api/icon?style=fp101&color=Light%20Pink 200 in 28ms (next.js: 12ms, application-code: 16ms)
 GET /api/icon?style=fp100&color=Light%20Pink 200 in 28ms (next.js: 14ms, application-code: 14ms)
 GET /api/icon?style=fp94&color=Black 200 in 21ms (next.js: 9ms, application-code: 12ms)
 GET /api/icon?style=fp116&color=White 200 in 16ms (next.js: 7ms, application-code: 9ms)
 GET /api/icon?style=fp52&color=White 200 in 12ms (next.js: 3ms, application-code: 9ms)
 GET /api/icon?style=fp55&color=White%20With%20White 200 in 14ms (next.js: 1792µs, application-code: 12ms)
 GET /api/icon?style=fp94&color=Buttermilk 200 in 41ms (next.js: 2ms, application-code: 39ms)
 GET /api/icon?style=fp82&color=Hot%20Pink 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET /api/icon?style=fp100&color=Burgundy 200 in 48ms (next.js: 2ms, application-code: 46ms)
 GET /api/icon?style=fp38&color=Chocolate 200 in 50ms (next.js: 2ms, application-code: 47ms)
 GET /api/icon?style=fp52&color=Black%20White 200 in 50ms (next.js: 35ms, application-code: 15ms)
 GET /api/icon?style=fp89&color=Buttermilk 200 in 53ms (next.js: 3ms, application-code: 50ms)
 GET /api/icon?style=fp123&color=Navy%20Buttermilk 200 in 22ms (next.js: 4ms, application-code: 18ms)
 GET /api/icon?style=fp94&color=Navy 200 in 25ms (next.js: 7ms, application-code: 18ms)
 GET /api/icon?style=fp133&color=Blue%20Green%20Stripes 404 in 6ms (next.js: 3ms, application-code: 3ms)
 GET /api/icon?style=fp127&color=Ice%20Blue 404 in 6ms (next.js: 4ms, application-code: 3ms)
 GET /api/icon?style=fp121&color=Brown 200 in 16ms (next.js: 7ms, application-code: 9ms)
 GET /api/icon?style=fp89&color=Pink 200 in 13ms (next.js: 3ms, application-code: 10ms)
 GET /api/icon?style=fpc3&color=Pale%20Yellow%20(40%20On%20Swatch%20Book) 404 in 3ms (next.js: 1191µs, application-code: 2ms)
 GET /api/icon?style=fpc3&color=Custom 404 in 6ms (next.js: 4ms, application-code: 3ms)
 GET /api/icon?style=fp52&color=Crimson%20White 200 in 13ms (next.js: 5ms, application-code: 8ms)
 GET /api/icon?style=fpc35&color=Blue%2028 404 in 7ms (next.js: 1640µs, application-code: 5ms)
 GET /api/icon?style=fp116&color=Navy 200 in 15ms (next.js: 5ms, application-code: 11ms)
 GET /api/icon?style=fpc2&color=No%20%2319%20(Gsm%20For%20Light%20Garments) 404 in 9ms (next.js: 4ms, application-code: 5ms)
 GET /api/icon?style=fp82&color=White 200 in 14ms (next.js: 3ms, application-code: 12ms)
 GET /api/icon?style=fp82&color=Navy 200 in 12ms (next.js: 911µs, application-code: 11ms)
 GET /api/icon?style=fpc35&color=Custom 404 in 8ms (next.js: 5ms, application-code: 3ms)
 GET /api/icon?style=fp124&color=Brown 200 in 12ms (next.js: 1965µs, application-code: 10ms)
 GET /api/icon?style=fp101&color=Custom%20Color 200 in 13ms (next.js: 4ms, application-code: 9ms)
 GET /api/icon?style=fp100&color=True%20Blue 200 in 14ms (next.js: 6ms, application-code: 8ms)
 GET /api/icon?style=fp82&color=Espresso%20Bean 200 in 15ms (next.js: 7ms, application-code: 8ms)
 GET /api/icon?style=fp29&color=Cherry%20Red 200 in 10ms (next.js: 1514µs, application-code: 9ms)
 GET /api/icon?style=fp29&color=Dark%20Slate 200 in 5ms (next.js: 2ms, application-code: 3ms)
 GET /capacity 200 in 42ms (next.js: 25ms, application-code: 17ms)
 GET /api/capacity?from=2026-05-01&to=2026-05-28 200 in 32ms (next.js: 24ms, application-code: 8ms)
 GET /api/capacity?from=2026-05-01&to=2026-05-28 200 in 7ms (next.js: 1620µs, application-code: 6ms)
 GET /api/icon?style=fp133&color=Blue%20Green%20Stripes 404 in 10ms (next.js: 3ms, application-code: 7ms)
 GET /api/icon?style=fp127&color=Ice%20Blue 404 in 7ms (next.js: 2ms, application-code: 5ms)
 GET /api/icon?style=fp82&color=White 200 in 25ms (next.js: 17ms, application-code: 9ms)
 GET /api/icon?style=fp52&color=Crimson%20White 200 in 28ms (next.js: 9ms, application-code: 19ms)
 GET /api/icon?style=fp82&color=Navy 200 in 25ms (next.js: 18ms, application-code: 8ms)
 GET /api/icon?style=fp29&color=Dark%20Slate 200 in 10ms (next.js: 4ms, application-code: 6ms)
 GET /api/icon?style=fp127&color=Ice%20Blue 404 in 13ms (next.js: 6ms, application-code: 8ms)
 GET /suppliers 200 in 49ms (next.js: 28ms, application-code: 21ms)
 GET /api/suppliers 200 in 37ms (next.js: 26ms, application-code: 10ms)
 GET /api/suppliers 200 in 10ms (next.js: 983µs, application-code: 9ms)
 GET /capacity 200 in 29ms (next.js: 4ms, application-code: 25ms)
 GET /api/capacity?from=2026-05-01&to=2026-05-28 200 in 8ms (next.js: 1467µs, application-code: 7ms)
 GET /api/capacity?from=2026-05-01&to=2026-05-28 200 in 9ms (next.js: 1664µs, application-code: 8ms)
 GET /api/icon?style=fp133&color=Blue%20Green%20Stripes 404 in 12ms (next.js: 5ms, application-code: 7ms)
 GET /api/icon?style=fp127&color=Ice%20Blue 404 in 15ms (next.js: 10ms, application-code: 5ms)
 GET /api/icon?style=fp117&color=Lemon%20Drop 200 in 28ms (next.js: 6ms, application-code: 22ms)
 GET /api/icon?style=fp94&color=Ice%20Blue 200 in 27ms (next.js: 13ms, application-code: 14ms)
 GET /api/icon?style=fp117&color=Navy 200 in 19ms (next.js: 7ms, application-code: 13ms)
 GET /api/icon?style=fp116&color=Burgundy 200 in 18ms (next.js: 5ms, application-code: 13ms)
 GET /api/icon?style=fp87&color=Ice%20Blue 200 in 16ms (next.js: 3ms, application-code: 13ms)
 GET /api/icon?style=fp123&color=Buttermilk%20Navy 200 in 17ms (next.js: 2ms, application-code: 15ms)
 GET /import 200 in 53ms (next.js: 30ms, application-code: 23ms)
 GET /orders 200 in 30ms (next.js: 4ms, application-code: 25ms)
 GET /api/orders?kanban=1 200 in 10ms (next.js: 1805µs, application-code: 8ms)
 GET /api/orders?kanban=1 200 in 11ms (next.js: 1033µs, application-code: 10ms)
 GET /api/icon?style=fp116&color=Light%20Pink 200 in 208ms (next.js: 150ms, application-code: 58ms)
 GET /api/icon?style=fp101&color=Light%20Pink 200 in 16ms (next.js: 1099µs, application-code: 14ms)
 GET /api/icon?style=fp100&color=Light%20Pink 200 in 18ms (next.js: 5ms, application-code: 12ms)
 GET /api/icon?style=fp94&color=Black 200 in 15ms (next.js: 5ms, application-code: 10ms)
 GET /api/icon?style=fp95&color=White 200 in 13ms (next.js: 3ms, application-code: 10ms)
 GET /api/icon?style=fp52&color=Black%20White 200 in 14ms (next.js: 2ms, application-code: 12ms)
 GET /api/icon?style=fp89&color=Buttermilk 200 in 18ms (next.js: 3ms, application-code: 14ms)
 GET /api/icon?style=fp100&color=Burgundy 200 in 43ms (next.js: 7ms, application-code: 36ms)
 GET /api/icon?style=fp94&color=Buttermilk 200 in 42ms (next.js: 7ms, application-code: 35ms)
 GET /api/icon?style=fp38&color=Chocolate 200 in 39ms (next.js: 2ms, application-code: 37ms)
 GET /api/icon?style=fp55&color=White%20With%20White 200 in 41ms (next.js: 8ms, application-code: 32ms)
 GET /api/icon?style=fp82&color=Hot%20Pink 200 in 39ms (next.js: 24ms, application-code: 15ms)
 GET /api/icon?style=fp123&color=Ash%20Grey%20Navy 200 in 31ms (next.js: 14ms, application-code: 17ms)
 GET /api/icon?style=fp116&color=White 200 in 22ms (next.js: 4ms, application-code: 19ms)
 GET /api/icon?style=fp52&color=White 200 in 25ms (next.js: 5ms, application-code: 21ms)
 GET /api/icon?style=fp87&color=Buttermilk 200 in 36ms (next.js: 6ms, application-code: 30ms)
 GET /api/icon?style=fp123&color=Navy%20Buttermilk 200 in 35ms (next.js: 2ms, application-code: 32ms)
 GET /api/icon?style=fp116&color=Butter%20Yellow 200 in 35ms (next.js: 7ms, application-code: 29ms)
 GET /api/icon?style=fp117&color=Navy 200 in 30ms (next.js: 7ms, application-code: 23ms)
 GET /api/icon?style=fp18&color=Forest 200 in 15ms (next.js: 3ms, application-code: 12ms)
 GET /api/icon?style=fp94&color=Navy 200 in 16ms (next.js: 4ms, application-code: 12ms)
 GET /api/icon?style=fp117&color=Lemon%20Drop 200 in 13ms (next.js: 1444µs, application-code: 12ms)
 GET /api/icon?style=fp87&color=Ice%20Blue 200 in 14ms (next.js: 3ms, application-code: 11ms)
 GET /api/icon?style=fp123&color=Buttermilk%20Navy 200 in 15ms (next.js: 4ms, application-code: 10ms)
 GET /api/icon?style=fp121&color=Brown 200 in 18ms (next.js: 6ms, application-code: 12ms)
 GET /api/icon?style=fp133&color=Blue%20Green%20Stripes 404 in 7ms (next.js: 5ms, application-code: 3ms)
 GET /api/icon?style=fp127&color=Ice%20Blue 404 in 6ms (next.js: 1441µs, application-code: 4ms)
 GET /api/icon?style=fp89&color=Pink 200 in 16ms (next.js: 3ms, application-code: 13ms)
 GET /api/icon?style=fpc3&color=Pale%20Yellow%20(40%20On%20Swatch%20Book) 404 in 10ms (next.js: 4ms, application-code: 6ms)
 GET /api/icon?style=fpc3&color=Custom 404 in 10ms (next.js: 5ms, application-code: 4ms)
 GET /api/icon?style=fp94&color=Ice%20Blue 200 in 19ms (next.js: 2ms, application-code: 17ms)
 GET /api/icon?style=fp116&color=Pink%20Sand 200 in 22ms (next.js: 7ms, application-code: 15ms)
 GET /api/icon?style=fp52&color=Crimson%20White 200 in 14ms (next.js: 5ms, application-code: 9ms)
 GET /api/icon?style=fp116&color=Navy 200 in 14ms (next.js: 6ms, application-code: 8ms)
 GET /api/icon?style=fp82&color=White 200 in 13ms (next.js: 5ms, application-code: 8ms)
 GET /api/icon?style=fp116&color=Burgundy 200 in 13ms (next.js: 6ms, application-code: 8ms)
 GET /api/icon?style=fpc35&color=Blue%2028 404 in 7ms (next.js: 4ms, application-code: 3ms)
 GET /api/icon?style=fp82&color=Navy 200 in 12ms (next.js: 1197µs, application-code: 11ms)
 GET /api/icon?style=fpc2&color=No%20%2319%20(Gsm%20For%20Light%20Garments) 404 in 5ms (next.js: 1409µs, application-code: 4ms)
 GET /api/icon?style=fpc35&color=Custom 404 in 9ms (next.js: 7ms, application-code: 2ms)
 GET /api/icon?style=fp124&color=Brown 200 in 19ms (next.js: 3ms, application-code: 16ms)
 GET /api/icon?style=fp101&color=Custom%20Color 200 in 21ms (next.js: 6ms, application-code: 15ms)
 GET /api/icon?style=fp100&color=True%20Blue 200 in 21ms (next.js: 7ms, application-code: 14ms)
 GET /api/icon?style=fp82&color=Espresso%20Bean 200 in 16ms (next.js: 3ms, application-code: 13ms)
 GET /api/icon?style=fp117&color=Butter%20Yellow 200 in 15ms (next.js: 5ms, application-code: 10ms)
 GET /api/icon?style=fp117&color=Light%20Pink 200 in 13ms (next.js: 4ms, application-code: 9ms)
 GET /api/icon?style=fp29&color=Cherry%20Red 200 in 7ms (next.js: 982µs, application-code: 6ms)
 GET /api/icon?style=fp29&color=Dark%20Slate 200 in 8ms (next.js: 3ms, application-code: 5ms)
 GET /orders 200 in 240ms (next.js: 50ms, application-code: 191ms)
 GET /orders 200 in 72ms (next.js: 10ms, application-code: 63ms)
 GET /api/orders?kanban=1 200 in 26ms (next.js: 4ms, application-code: 22ms)
 GET /api/icon?style=fp116&color=Light%20Pink 200 in 17ms (next.js: 4ms, application-code: 13ms)
 GET /api/icon?style=fp94&color=Black 200 in 17ms (next.js: 10ms, application-code: 7ms)
 GET /api/icon?style=fp100&color=Light%20Pink 200 in 18ms (next.js: 9ms, application-code: 10ms)
 GET /api/icon?style=fp101&color=Light%20Pink 200 in 20ms (next.js: 6ms, application-code: 14ms)
 GET /api/icon?style=fp95&color=White 200 in 20ms (next.js: 11ms, application-code: 9ms)
 GET /api/icon?style=fp123&color=Ash%20Grey%20Navy 200 in 19ms (next.js: 11ms, application-code: 8ms)
 GET /api/icon?style=fp116&color=White 200 in 202ms (next.js: 65ms, application-code: 137ms)
 GET /api/icon?style=fp123&color=Navy%20Buttermilk 200 in 203ms (next.js: 161ms, application-code: 42ms)
 GET /api/icon?style=fp116&color=Butter%20Yellow 200 in 206ms (next.js: 172ms, application-code: 35ms)
 GET /api/icon?style=fp52&color=White 200 in 212ms (next.js: 138ms, application-code: 74ms)
 GET /api/icon?style=fp117&color=Navy 200 in 173ms (next.js: 126ms, application-code: 47ms)
 GET /api/icon?style=fp87&color=Buttermilk 200 in 230ms (next.js: 154ms, application-code: 76ms)
 GET /api/icon?style=fp117&color=White 200 in 66ms (next.js: 14ms, application-code: 52ms)
 GET /api/icon?style=fp82&color=Hot%20Pink 200 in 67ms (next.js: 18ms, application-code: 48ms)
 GET /api/icon?style=fp38&color=Chocolate 200 in 68ms (next.js: 32ms, application-code: 36ms)
 GET /api/icon?style=fp55&color=White%20With%20White 200 in 69ms (next.js: 36ms, application-code: 33ms)
 GET /api/icon?style=fp89&color=Buttermilk 200 in 73ms (next.js: 29ms, application-code: 44ms)
 GET /api/icon?style=fp94&color=Buttermilk 200 in 30ms (next.js: 3ms, application-code: 27ms)
 GET /api/icon?style=fp52&color=Black%20White 200 in 34ms (next.js: 7ms, application-code: 27ms)
 GET /api/icon?style=fp100&color=Burgundy 200 in 42ms (next.js: 9ms, application-code: 33ms)
 GET /api/icon?style=fp94&color=Navy 200 in 46ms (next.js: 13ms, application-code: 33ms)
 GET /api/icon?style=fp18&color=Forest 200 in 50ms (next.js: 12ms, application-code: 39ms)
 GET /api/icon?style=fp117&color=Lemon%20Drop 200 in 53ms (next.js: 15ms, application-code: 38ms)
 GET /api/icon?style=fp87&color=Ice%20Blue 200 in 56ms (next.js: 4ms, application-code: 52ms)
 GET /api/icon?style=fp133&color=Blue%20Green%20Stripes 404 in 36ms (next.js: 23ms, application-code: 12ms)
 GET /api/icon?style=fp127&color=Ice%20Blue 404 in 39ms (next.js: 28ms, application-code: 11ms)
 GET /api/icon?style=fp123&color=Buttermilk%20Navy 200 in 61ms (next.js: 3ms, application-code: 57ms)
 GET /api/icon?style=fp89&color=Pink 200 in 60ms (next.js: 14ms, application-code: 46ms)
 GET /api/icon?style=fp121&color=Brown 200 in 63ms (next.js: 9ms, application-code: 54ms)
 GET /api/icon?style=fpc3&color=Pale%20Yellow%20(40%20On%20Swatch%20Book) 404 in 33ms (next.js: 19ms, application-code: 14ms)
 GET /api/icon?style=fpc3&color=Custom 404 in 34ms (next.js: 25ms, application-code: 9ms)
 GET /api/icon?style=fp94&color=Ice%20Blue 200 in 61ms (next.js: 17ms, application-code: 44ms)
 GET /api/icon?style=fp116&color=Pink%20Sand 200 in 36ms (next.js: 5ms, application-code: 32ms)
 GET /api/icon?style=fp52&color=Crimson%20White 200 in 38ms (next.js: 9ms, application-code: 29ms)
 GET /api/icon?style=fp116&color=Navy 200 in 42ms (next.js: 15ms, application-code: 27ms)
 GET /api/icon?style=fp82&color=White 200 in 28ms (next.js: 7ms, application-code: 22ms)
 GET /api/icon?style=fp116&color=Burgundy 200 in 26ms (next.js: 8ms, application-code: 18ms)
 GET /api/icon?style=fpc35&color=Blue%2028 404 in 15ms (next.js: 6ms, application-code: 9ms)
 GET /api/icon?style=fp82&color=Navy 200 in 31ms (next.js: 4ms, application-code: 27ms)
 GET /api/icon?style=fpc2&color=No%20%2319%20(Gsm%20For%20Light%20Garments) 404 in 15ms (next.js: 7ms, application-code: 8ms)
